disease,metric,method,n_pairs,method_mean,RWR_mean,mean_increase_over_RWR,t_statistic,p_value,significance
adrenal gland diseases,AP@25,rNBR,2,0.005681818181818182,0.009615384615384616,-0.003933566433566434,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,RWR,2,0.005952380952380952,0.009615384615384616,-0.003663003663003664,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,DK,2,0.0,0.009615384615384616,-0.009615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,DK*,2,0.0,0.009615384615384616,-0.009615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,QA0,2,0.005208333333333333,0.009615384615384616,-0.004407051282051283,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,QA1,2,0.005952380952380952,0.009615384615384616,-0.003663003663003664,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,QA*,2,0.005,0.009615384615384616,-0.004615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,DIAMOND,2,0.0,0.009615384615384616,-0.009615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@25,GCN,2,0.005,0.009615384615384616,-0.004615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,rNBR,2,0.005681818181818182,0.009615384615384616,-0.003933566433566434,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,RWR,2,0.005952380952380952,0.009615384615384616,-0.003663003663003664,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,DK,2,0.003289473684210526,0.009615384615384616,-0.00632591093117409,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,DK*,2,0.003289473684210526,0.009615384615384616,-0.00632591093117409,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,QA0,2,0.005208333333333333,0.009615384615384616,-0.004407051282051283,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,QA1,2,0.005952380952380952,0.009615384615384616,-0.003663003663003664,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,QA*,2,0.005,0.009615384615384616,-0.004615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,DIAMOND,2,0.0029069767441860465,0.009615384615384616,-0.0067084078711985694,-1.0,0.49999999999999956,ns
adrenal gland diseases,AP@300,GCN,2,0.005,0.009615384615384616,-0.004615384615384616,-1.0,0.49999999999999956,ns
adrenal gland diseases,Recall@25,rNBR,2,0.125,0.125,0.0,0.0,1.0,ns
adrenal gland diseases,Recall@25,RWR,2,0.125,0.125,0.0,0.0,1.0,ns
