
AP@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
adrenal gland diseases                     | 0.010 +/- 0.010  | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.005 +/- 0.005  | 0.006 +/- 0.006  | 0.005 +/- 0.005  | 0.0000 +/- 0.0000 | 0.005 +/- 0.005 
alzheimer disease                          | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.006 +/- 0.006  | 0.009 +/- 0.009  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006 
amino acid metabolism inborn errors        | 0.002 +/- 0.002  | 0.025 +/- 0.008  | 0.06 +/- 0.02    | 0.07 +/- 0.02    | 0.07 +/- 0.01    | 0.06 +/- 0.02    | 0.07 +/- 0.01    | 0.10 +/- 0.01    | 0.002 +/- 0.002  | 0.043 +/- 0.005 
amyotrophic lateral sclerosis              | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
anemia aplastic                            | 0.009 +/- 0.009  | 0.02 +/- 0.02    | 0.07 +/- 0.07    | 0.009 +/- 0.009  | 0.008 +/- 0.008  | 0.005 +/- 0.005  | 0.03 +/- 0.03    | 0.02 +/- 0.02    | 0.1 +/- 0.1      | 0.05 +/- 0.05   
anemia hemolytic                           | 0.017 +/- 0.007  | 0.003 +/- 0.003  | 0.030 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.04 +/- 0.03    | 0.07 +/- 0.05    | 0.07 +/- 0.04    | 0.12 +/- 0.09    | 0.033 +/- 0.008 
aneurysm                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
arrhythmias cardiac                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0159 +/- 0.0000 | 0.0136 +/- 0.0006 | 0.0136 +/- 0.0006 | 0.0120 +/- 0.0010 | 0.013 +/- 0.001  | 0.0136 +/- 0.0006 | 0.0000 +/- 0.0000 | 0.019 +/- 0.001 
arterial occlusive diseases                | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.002 +/- 0.002  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
